Etappennummer;Titel;Ausgangspunkt;Endpunkt;Laenge (in km);Fahrzeit (in Stunden);Schwierigkeitsgrad;Hoehenmeter bergauf;Hoehenmeter bergab;Info
1;Biketrail-Etappe 1: Steeg-Weissenbach;Steeg;Weissenbach;44;4,5;leicht;200;420;http://www.tirol.at/reisefuehrer/sport/radfahren/biketouren/a-bike-trail-tirol-steeg-weissenbach
2;Biketrail-Etappe 2: Weissenbach-Tannheim;Weissenbach;Tannheim;17,1;2,25;mittelschwierig;400;190;http://www.tirol.at/reisefuehrer/sport/radfahren/biketouren/a-bike-trail-tirol-weissenbach-tannheim
3;Biketrail-Etappe 3: Tannheim-Reutte;Tannheim;Reutte;44;4;mittelschwierig;500;590;http://www.tirol.at/reisefuehrer/sport/radfahren/biketouren/a-bike-trail-tirol-tannheim-reutte
4;Biketrail-Etappe 4: Weissenbach-Reutte;Weissenbach;Reutte;7,1;1;leicht;160;50;http://www.tirol.at/reisefuehrer/sport/radfahren/biketouren/a-bike-trail-tirol-weissenbach-reutte
5;Biketrail-Etappe 5: Reutte-Ehrwald;Reutte;Ehrwald;18,8;2;leicht;280;285;http://www.tirol.at/reisefuehrer/sport/radfahren/biketouren/a-bike-trail-tirol-reutte-ehrwald
6;Biketrail-Etappe 6: Ehrwald-Scharnitz;Ehrwald;Scharnitz;40;4;mittelschwierig;990;1200;http://www.tirol.at/reisefuehrer/sport/radfahren/biketouren/a-bike-trail-tirol-ehrwald-scharnitz
7;Biketrail-Etappe 7: Scharnitz - Achensee;Scharnitz;Achensee;61,5;6;schwierig;1850;1880;http://www.tirol.at/reisefuehrer/sport/radfahren/biketouren/a-bike-trail-tirol-scharnitz-achensee
8;Biketrail-Etappe 8: Achensee - Kaiserhaus;Achensee;Kaiserhaus;56;5;schwierig;1460;1660;http://www.tirol.at/reisefuehrer/sport/radfahren/biketouren/a-bike-trail-tirol-achensee-kaiserhaus
9;Biketrail-Etappe 9: Kaiserhaus – Kufstein ;Kaiserhaus;Kufstein;31,5;3,25;mittelschwierig;540;780;http://www.tirol.at/reisefuehrer/sport/radfahren/biketouren/a-bike-trail-tirol-kaiserhaus-kufstein
10;Biketrail-Etappe 10: Kufstein - Koessen ;Kufstein;Koessen;33,8;3;mittelschwierig;770;660;http://www.tirol.at/reisefuehrer/sport/radfahren/biketouren/a-bike-trail-tirol-kufstein-koessen
11;Biketrail-Etappe 11: Koessen - Kitzbuehel;Koessen;Kitzbuehel;56;7;schwierig;1900;1730;http://www.tirol.at/reisefuehrer/sport/radfahren/biketouren/a-bike-trail-tirol-koessen-kitzbuehel
12;Biketrail-Etappe 12: Variante Pillersee ;Erpfendorf;Muehlbach;42;4;mittelschwierig;850;770;http://www.tirol.at/reisefuehrer/sport/radfahren/biketouren/a-bike-trail-tirol-variante-pillersee
13;Biketrail-Etappe 13: Kitzbuehel - Westendorf ;Kitzbuehel;Westendorf;15,5;1,75;leicht;150;150;http://www.tirol.at/reisefuehrer/sport/radfahren/biketouren/a-bike-trail-tirol-kitzbuehel-westendorf
14;Biketrail-Etappe 14: Westendorf - Alpbach ;Westendorf;Alpbach;36,5;4,5;mittelschwierig;1300;1100;http://www.tirol.at/reisefuehrer/sport/radfahren/biketouren/a-bike-trail-tirol-westendorf-alpbach
15;Biketrail-Etappe 15: Alpbach- Zell;Alpbach;Zell;43,5;5;mittelschwierig;1150;1550;http://www.tirol.at/reisefuehrer/sport/radfahren/biketouren/a-bike-trail-tirol-alpbach-zell
16;Biketrail-Etappe 16: Zell - Achensee ;Zell;Achensee;36,5;3;leicht;580;220;http://www.tirol.at/reisefuehrer/sport/radfahren/biketouren/a-bike-trail-tirol-zell-achensee
17;Biketrail-Etappe 17: Zell - Mayrhofen ;Zell;Mayrhofen;8,8;1;leicht;30;90;http://www.tirol.at/reisefuehrer/sport/radfahren/biketouren/a-bike-trail-tirol-zell-mayrhofen
18;Biketrail-Etappe 18: Mayrhofen - Lanersbach ;Mayhofen;Lanersbach;14,5;3;mittelschwierig;900;280;http://www.tirol.at/reisefuehrer/sport/radfahren/biketouren/a-bike-trail-tirol-mayrhofen-lanersbach
19;Biketrail-Etappe 19: Lanersbach - Geiseljoch - Weerberg ;Lanersbach;Weerberg;28;5;schwierig;1090;1480;http://www.tirol.at/reisefuehrer/sport/radfahren/biketouren/a-bike-trail-tirol-lanersbach-geiseljoch-weerberg
